timeIndex,totale
00:00,426
00:30,736
01:00,356
01:30,274
02:00,152
02:30,210
03:00,142
03:30,124
04:00,199
04:30,146
05:00,326
05:30,327
06:00,631
06:30,696
07:00,1904
07:30,1504
08:00,1638
08:30,1396
09:00,1527
09:30,1691
10:00,1038
10:30,1632
11:00,1612
11:30,1792
12:00,1452
12:30,1933
13:00,1071
13:30,1645
14:00,1647
14:30,1020
15:00,1467
15:30,1547
16:00,1308
16:30,1110
17:00,1638
17:30,906
18:00,741
18:30,1160
19:00,1113
19:30,2322
20:00,1261
20:30,2007
21:00,826
21:30,692
22:00,890
22:30,1613
23:00,1254
23:30,1332
