timeIndex,totale
00:00,499
00:30,330
01:00,321
01:30,188
02:00,156
02:30,101
03:00,83
03:30,111
04:00,86
04:30,57
05:00,170
05:30,246
06:00,585
06:30,895
07:00,1169
07:30,1204
08:00,1769
08:30,1070
09:00,2070
09:30,1874
10:00,1924
10:30,732
11:00,563
11:30,1325
12:00,1805
12:30,1037
13:00,1119
13:30,963
14:00,2445
14:30,1221
15:00,684
15:30,1050
16:00,1448
16:30,1375
17:00,823
17:30,1266
18:00,1135
18:30,634
19:00,1485
19:30,2162
20:00,1806
20:30,1024
21:00,1512
21:30,650
22:00,615
22:30,1325
23:00,435
23:30,941
