timeIndex,totale
00:00,692
00:30,904
01:00,578
01:30,184
02:00,708
02:30,351
03:00,238
03:30,215
04:00,240
04:30,290
05:00,311
05:30,207
06:00,102
06:30,270
07:00,271
07:30,281
08:00,591
08:30,551
09:00,719
09:30,521
10:00,575
10:30,740
11:00,889
11:30,976
12:00,1552
12:30,518
13:00,1098
13:30,549
14:00,909
14:30,1101
15:00,1142
15:30,1067
16:00,1444
16:30,1013
17:00,1984
17:30,1236
18:00,1704
18:30,1226
19:00,847
19:30,1287
20:00,795
20:30,714
21:00,1318
21:30,657
22:00,1046
22:30,897
23:00,584
23:30,379
