timeIndex,totale
00:00,656
00:30,488
01:00,506
01:30,193
02:00,208
02:30,106
03:00,91
03:30,94
04:00,82
04:30,134
05:00,186
05:30,283
06:00,406
06:30,614
07:00,1080
07:30,1468
08:00,1121
08:30,1464
09:00,1600
09:30,1612
10:00,1368
10:30,1660
11:00,825
11:30,1309
12:00,1667
12:30,1413
13:00,1238
13:30,1065
14:00,1260
14:30,1681
15:00,1484
15:30,957
16:00,1139
16:30,1910
17:00,1364
17:30,1226
18:00,1018
18:30,1825
19:00,1627
19:30,1248
20:00,1271
20:30,1179
21:00,935
21:30,1138
22:00,612
22:30,981
23:00,647
23:30,613
