timeIndex,totale
00:00,531
00:30,394
01:00,192
01:30,288
02:00,110
02:30,170
03:00,117
03:30,170
04:00,80
04:30,130
05:00,169
05:30,365
06:00,519
06:30,1110
07:00,1955
07:30,2082
08:00,1601
08:30,978
09:00,1100
09:30,1307
10:00,968
10:30,1573
11:00,719
11:30,1580
12:00,1449
12:30,1228
13:00,779
13:30,1072
14:00,678
14:30,1342
15:00,994
15:30,1672
16:00,724
16:30,482
17:00,817
17:30,1282
18:00,733
18:30,1259
19:00,464
19:30,1863
20:00,870
20:30,1161
21:00,1154
21:30,947
22:00,838
22:30,622
23:00,591
23:30,296
